scientific_name,L_value,T_value,F_value,R_value,N_value,S_value
Limonium ovalifolium,8.0,6.0,7.0,7.0,5.0,7.0
Limonium panormitanum,7.0,10.0,2.0,9.0,2.0,4.0
Limonium paradoxum,9.0,,4.0,7.0,3.0,4.0
Limonium parvifolium,9.0,10.0,2.0,9.0,1.0,8.0
Limonium parvum,9.0,,3.0,8.0,3.0,4.0
Limonium patrimoniense,8.0,9.0,5.0,5.0,5.0,6.0
Limonium pigadiense,9.0,12.0,3.0,9.0,7.0,6.0
Limonium platyphyllum,8.0,5.25,3.25,,,
Limonium pontium,9.0,10.0,2.0,9.0,2.0,8.0
Limonium portovecchiense,8.0,9.0,5.0,5.0,5.0,6.0
Limonium procerum,9.0,,3.0,8.0,3.0,5.0
Limonium pseudominutum,8.0,9.0,5.0,5.0,5.0,6.0
Limonium ramosissimum,8.0,9.0,5.0,5.0,5.0,6.0
Limonium recurvum,9.0,,3.0,7.0,3.0,5.0
Limonium remotispiculum,7.0,10.0,2.0,9.0,3.0,8.0
Limonium rigidum,9.0,12.0,,8.0,6.0,5.0
Limonium sareptanum,8.5,5.5,4.0,,,
Limonium sibthorpianum,9.0,11.0,2.0,9.0,2.0,5.0
Limonium sieberi,8.0,11.0,2.0,9.0,5.0,6.0
Limonium sinuatum,8.67,10.33,3.33,7.7,4.67,1.67
Limonium sitiacum,8.0,11.0,1.0,9.0,4.0,4.0
Limonium strictissimum,8.0,9.0,5.0,5.0,5.0,6.0
Limonium suffruticosum,8.5,6.0,2.25,,,
Limonium tarcoense,8.0,9.0,5.0,5.0,5.0,6.0
Limonium tenoreanum,7.0,10.0,1.0,9.0,1.0,8.0
Limonium tenuiculum,9.0,10.0,1.0,9.0,1.0,8.0
Limonium tenuifolium,8.0,9.0,5.0,5.0,5.0,6.0
Limonium tremolsii,8.0,9.0,5.0,5.0,5.0,6.0
Limonium virgatum,8.33,9.67,,8.3,5.67,7.33
Limonium vulgare,8.67,5.5,7.67,7.7,5.67,7.33
Limosella aquatica,7.69,5.06,8.31,5.4,,0.0
Limosella australis,7.0,,10.0,7.0,4.0,1.0
Linaria alpina,9.0,3.0,3.5,7.8,1.75,0.0
Linaria amethystea,9.0,7.0,1.0,5.0,5.0,0.0
Linaria angustissima,9.0,7.33,2.5,8.0,2.0,0.0
Linaria arvensis,7.0,7.4,4.25,6.0,4.0,0.0
Linaria badalii,9.0,5.0,1.0,7.0,2.0,
Linaria biebersteinii,8.25,5.12,5.12,,,
Linaria caesia,9.0,8.0,1.0,3.0,2.0,
Linaria capraria,9.0,10.0,2.0,2.0,2.0,0.0
Linaria chalepensis,8.0,9.0,3.0,7.5,4.5,0.0
Linaria cretacea,8.5,5.25,4.75,,,
Linaria elegans,9.0,6.0,1.0,3.0,2.0,
Linaria filicaulis,9.0,3.0,2.0,7.0,1.0,
Linaria flava,9.0,11.0,2.0,3.0,2.0,0.0
Linaria genistifolia,8.12,,2.94,6.7,2.0,0.0
Linaria hirta,7.5,7.4,3.8,7.0,5.6,0.0
Linaria macroura,8.0,5.5,4.5,,,
Linaria micrantha,8.0,9.5,3.0,7.5,,0.0
Linaria multicaulis,9.0,11.0,2.0,4.0,2.0,0.0
Linaria odora,7.0,5.5,4.75,,,
Linaria pelisseriana,8.33,9.67,3.33,6.0,3.0,0.0
Linaria propinqua,9.0,5.0,1.0,7.0,1.0,
Linaria pseudolaxiflora,9.0,10.0,2.0,3.0,2.0,2.0
Linaria purpurea,7.33,7.0,4.33,6.0,5.67,0.0
Linaria reflexa,7.0,8.0,3.0,5.0,3.0,0.0
Linaria repens,7.25,6.5,4.5,4.8,5.25,0.0
Linaria saxatilis,9.0,4.0,1.0,3.0,1.0,
Linaria simplex,8.33,9.0,2.33,7.7,,0.0
Linaria spartea,9.0,7.0,1.0,4.0,4.0,0.0
Linaria supina,9.0,6.67,1.5,,1.5,0.0
Linaria tonzigii,9.0,2.5,2.0,7.0,1.0,0.0
Linaria triornithophora,9.0,7.0,4.0,2.0,1.0,
Linaria triphylla,8.0,10.0,3.0,7.5,5.5,0.0
Linaria vulgaris,7.64,5.29,3.89,7.0,5.0,0.17
Linaria vulgaris aggr.,,7.0,,,,
Lindernia dubia,8.8,7.0,8.6,6.6,6.67,0.2
Lindernia procumbens,8.9,7.08,8.2,7.3,6.5,0.0
Linnaea borealis,4.57,2.85,5.44,2.0,2.0,0.0
Linum alpinum,8.75,3.1,4.5,8.3,2.25,0.0
Linum appressum,9.0,6.0,2.0,8.0,1.0,
Linum arboreum,6.0,,3.0,8.0,3.0,0.0
Linum austriacum,8.53,,3.24,8.0,1.6,0.0
Linum basarabicum,7.5,5.5,4.5,,,
Linum bienne,7.8,,3.6,6.5,,0.33
Linum caespitosum,9.0,,2.0,8.0,2.0,0.0
Linum campanulatum,9.0,6.33,5.0,7.5,2.0,0.0
Linum capitatum,9.0,4.0,3.0,7.0,2.0,0.0
Linum catharticum,7.5,4.93,,6.8,2.12,0.57
Linum decumbens,8.0,9.0,2.0,8.5,5.5,0.0
Linum dolomiticum,9.0,8.0,1.0,9.0,1.0,0.0
Linum elegans,9.0,5.0,2.0,7.0,2.0,0.0
Linum extraaxillare,8.0,,6.25,,,
Linum flavum,8.1,6.67,3.3,7.8,2.25,0.0
Linum hirsutum,8.69,7.53,3.47,8.3,2.33,0.0
Linum leonii,9.0,6.33,3.5,9.0,1.0,0.0
Linum maritimum,8.5,8.33,7.33,7.0,4.5,5.67
Linum milletii,8.0,6.4,4.3,7.4,3.8,0.0
Linum narbonense,8.67,,4.0,7.3,1.67,0.0
Linum nervosum,7.75,5.5,5.12,,,
Linum nodiflorum,7.67,,3.58,6.0,5.0,0.5
Linum pallasianum,8.0,5.62,4.75,,,
Linum perenne,7.25,6.0,3.62,8.0,2.2,0.0
Linum pubescens,8.0,11.0,5.0,8.0,6.0,0.0
Linum punctatum,9.0,6.0,2.0,7.0,2.0,0.0
Linum strictum aggr.,8.12,,3.0,6.7,2.5,0.25
Linum suffruticosum aggr.,8.5,7.67,3.5,7.5,2.5,0.0
Linum tauricum,8.0,5.75,4.75,,,
Linum tenuifolium,8.92,7.43,2.71,8.6,2.0,0.0
Linum trigynum,8.3,,3.8,5.8,2.0,0.0
Linum ucranicum,8.5,5.25,4.75,,,
Linum usitatissimum,7.67,,4.5,6.4,5.0,0.0
Linum virgultorum,6.0,11.0,5.0,7.0,5.0,0.0
Linum viscosum,7.5,5.5,3.5,7.8,2.0,0.0
Lipandra polysperma,6.83,5.64,,6.5,8.0,0.0
Liparis loeselii,7.86,5.57,8.69,8.3,2.5,0.0
Liquidambar orientalis,6.0,,6.5,6.5,5.0,0.0
Lithodora fruticosa,7.0,8.0,2.0,7.0,3.0,0.0
Lithodora hispidula,7.0,11.0,1.0,8.0,1.0,1.0
Lithospermum officinale,6.25,5.96,4.68,7.9,5.43,0.0
Lloydia serotina,8.0,1.62,4.75,4.7,1.33,0.0
Lobelia dortmanna,7.67,4.5,10.75,5.0,1.33,0.0
Lobelia urens,8.0,6.0,7.25,3.0,1.67,0.0
Lobularia libyca,8.0,12.0,2.0,5.0,4.0,0.0
Lobularia maritima,8.25,,3.06,7.0,4.67,1.0
Loeflingia baetica,8.3,7.6,3.3,3.9,3.5,1.2
Loeflingia hispanica,9.0,11.0,1.0,3.0,1.0,0.0
Loiseleuria procumbens,8.88,2.25,5.25,2.3,1.33,0.0
Lolium multiflorum,7.22,,4.58,6.9,7.12,0.25
Lolium parabolicae,9.0,6.0,4.0,7.0,5.0,5.0
Lolium perenne,8.0,,,6.1,6.25,0.14
Lolium rigidum,8.1,,3.58,7.1,,0.5
Lolium subulatum,8.0,11.0,4.0,,7.0,0.0
Lolium temulentum,7.25,,4.72,7.7,5.8,0.14
Lomatogonium carinthiacum,8.0,1.67,5.5,7.0,2.0,0.0
Lomelosia albocincta,8.0,,3.0,8.0,4.0,0.0
Lomelosia argentea,8.0,6.5,3.08,4.5,2.0,0.0
Lomelosia crenata,7.67,,2.33,7.0,1.67,0.0
Lomelosia cretica,9.0,10.0,1.0,8.0,2.0,0.0
Lomelosia divaricata,8.0,11.0,1.0,8.0,6.0,0.0
Lomelosia graminifolia,5.0,6.5,2.0,7.0,2.0,0.0
Lomelosia micrantha,8.0,6.5,4.5,,,
Lomelosia minoana,8.0,10.0,3.0,8.0,4.0,
Lomelosia palaestina,7.5,10.5,2.5,8.0,5.0,0.0
Lomelosia prolifera,7.0,11.0,,,,
Lomelosia rotata,8.0,7.6,3.7,3.9,3.0,0.2
Lomelosia rutifolia,9.0,9.5,3.0,6.5,4.0,3.5
Lomelosia simplex,7.0,7.5,4.0,8.0,2.0,0.0
Lomelosia sphaciotica,9.0,7.0,3.0,8.0,6.0,0.0
Lomelosia stellata,8.0,8.5,4.0,7.0,7.0,0.0
Lomelosia variifolia,8.0,11.0,2.0,9.0,4.0,0.0
Lonas annua,9.0,10.0,5.0,2.0,1.0,0.0
Lonicera alpigena,4.33,3.5,6.0,7.7,6.33,0.0
Lonicera caerulea,5.33,3.08,7.75,2.3,2.33,0.0
Lonicera caprifolium,6.5,6.86,5.04,8.0,4.2,0.0
Lonicera etrusca,7.0,8.71,3.17,6.8,4.0,0.0
Lonicera henryi,,8.0,,,,
Lonicera implexa,6.33,9.25,4.0,5.7,4.0,0.0
Lonicera japonica,,9.0,,,,
Lonicera nigra,3.58,3.82,5.46,4.8,4.0,0.0
Lonicera nummulariifolia,8.0,10.0,,,,0.0
Lonicera periclymenum,6.14,,5.67,4.0,4.14,0.0
Lonicera pyrenaica,7.5,3.6,3.3,7.7,2.1,0.0
Lonicera splendida,7.7,3.9,4.0,7.8,3.9,0.0
Lonicera stabiana,5.0,6.0,2.0,7.0,1.0,0.0
Lonicera tatarica,6.5,6.75,6.0,,,
Lonicera xylosteum,5.19,5.22,,7.3,5.17,0.0
Loranthus europaeus,7.67,6.75,4.33,,,
Lotus alpinus,8.67,2.75,4.0,,2.0,0.0
Lotus angustissimus,8.2,8.0,,,2.75,2.33
Lotus biflorus,7.0,8.0,3.0,3.0,3.0,0.0
Lotus borbasii,8.5,7.5,2.5,8.5,2.0,0.0
Lotus conimbricensis,8.33,9.33,5.67,7.0,5.67,2.33
Lotus conjugatus,8.0,9.5,2.5,2.0,2.0,0.0
Lotus corniculatus,7.3,5.01,,6.6,2.5,0.43
Lotus corniculatus aggr.,7.0,5.0,4.0,7.0,4.0,1.0
Lotus creticus,9.0,9.5,2.0,6.0,3.5,2.5
Lotus cytisoides,8.67,10.0,2.0,7.0,5.33,2.33
Lotus delortii,7.0,7.0,6.0,5.0,5.0,0.0
Lotus edulis,8.0,9.5,3.0,7.0,5.5,0.5
Lotus glareosus,9.0,8.0,1.0,3.0,1.0,
Lotus halophilus,8.5,11.5,1.5,8.0,5.0,2.5
Lotus hispidus,9.0,6.0,1.0,2.0,1.0,0.1
Lotus longesiliquosus,9.0,8.0,3.0,7.0,2.0,0.0
Lotus maritimus,8.12,6.25,,8.1,2.29,1.71
Lotus ornithopodioides,8.0,9.67,3.0,7.0,5.0,0.0
Lotus palustris,7.0,11.0,8.0,7.0,6.0,1.0
Lotus parviflorus,8.5,10.0,6.0,6.5,5.0,0.0
Lotus pedunculatus,7.31,5.09,7.94,4.9,3.71,0.0
Lotus peregrinus,8.0,10.0,2.5,,3.5,0.0
Lotus preslii,8.5,8.0,8.33,7.0,4.5,2.0
Lotus subbiflorus,8.0,9.0,3.5,5.5,3.0,0.0
Lotus tenuis,7.88,,,7.3,,3.29
Lotus tetragonolobus,7.67,,4.67,8.0,6.67,0.0
Ludwigia grandiflora,7.0,7.5,9.0,5.0,6.0,0.0
Ludwigia palustris,7.79,,9.19,,4.83,0.14
Lunaria annua,,,5.75,6.6,6.4,0.0
Lunaria rediviva,4.0,4.75,6.29,7.0,7.8,0.0
Lupinus albus,8.33,9.25,4.33,6.7,6.67,0.0
Lupinus angustifolius,8.25,8.73,3.0,5.5,5.25,0.0
Lupinus cosentinii,8.0,8.5,4.5,5.5,5.5,0.0
Lupinus luteus,8.0,,5.0,5.5,5.5,0.0
Lupinus micranthus,8.0,9.33,4.33,6.3,6.0,0.0
Lupinus pilosus,8.0,11.0,4.0,7.0,7.0,0.0
Lupinus polyphyllus,7.38,5.06,5.16,4.3,6.0,0.0
Luronium natans,8.0,6.2,10.83,4.6,3.0,0.0
Lutzia cretica,7.0,,2.0,8.0,5.0,0.0
Luzula alpinopilosa,7.1,2.04,7.0,4.0,3.0,0.0
Luzula arcuata,9.0,,5.0,2.0,2.0,0.0
Luzula caespitosa,9.0,3.0,3.0,2.0,1.0,0.0
Luzula calabra,6.0,5.0,4.0,4.0,4.0,0.0
Luzula campestris aggr.,7.27,,,,2.31,0.0
Luzula confusa,,,6.0,,,
Luzula desvauxii,7.0,3.33,6.0,4.0,4.0,0.0
Luzula divulgatiformis,,8.0,,,,
Luzula exspectata,,3.0,,,,
Luzula forsteri,,,4.42,4.9,2.43,0.0
Luzula glabrata,7.5,2.0,6.33,6.5,2.5,0.0
Luzula lactea,9.0,6.0,4.0,3.0,1.0,0.0
Luzula lutea,7.5,2.33,4.0,2.5,4.5,0.0
Luzula luzulina,,3.46,4.71,4.0,3.25,0.0
Luzula luzuloides,4.21,4.56,4.81,3.2,3.86,0.0
Luzula nivalis,,,7.0,,,
Luzula nivea,3.75,4.4,4.5,3.3,3.75,0.0
Luzula nodulosa,4.0,10.0,4.0,7.0,2.0,0.0
Luzula pedemontana,4.5,4.0,5.5,4.0,4.0,0.0
Luzula pediformis,7.33,3.0,4.33,3.0,2.0,0.0
Luzula pilosa,3.12,4.8,5.22,4.7,3.86,0.0
Luzula pindica,8.0,3.0,4.0,5.0,3.0,0.0
Luzula spicata,7.94,2.24,4.68,,1.87,0.0
Luzula sylvatica,,,,3.0,3.74,0.0
Lycium barbarum,8.33,7.0,4.83,6.5,4.67,0.17
Lycium barbatum,7.5,5.0,5.0,,,
Lycium europaeum,8.67,8.25,4.0,5.5,6.0,0.0
Lycium intricatum,9.0,12.0,2.0,5.0,1.0,0.0
Lycium schweinfurthii,9.0,12.0,1.0,8.0,8.0,3.0
Lycopersicon esculentum,7.25,7.0,5.25,6.5,7.5,0.25
Lycopodiella inundata,8.21,4.54,9.03,2.3,1.17,0.0
Lycopodium alpinum,7.75,2.92,5.18,2.0,2.0,0.0
Lycopodium annotinum,3.64,3.8,5.94,2.8,3.0,0.0
Lycopodium clavatum,7.56,4.25,4.83,2.0,1.71,0.0
Lycopodium complanatum,5.93,4.14,4.5,1.3,2.0,0.0
Lycopodium complanatum aggr.,5.0,4.0,5.0,2.0,2.0,0.0
Lycopodium issleri,7.5,4.05,5.25,1.3,1.25,0.0
Lycopodium oellgaardii,8.0,4.0,5.0,2.0,2.0,0.0
Lycopodium tristachyum,7.08,5.5,5.08,1.2,1.2,0.0
Lycopodium zeilleri,7.0,5.5,4.0,1.0,2.0,0.0
Lycopsis arvensis,7.44,5.83,3.75,4.8,,0.0
Lycopsis orientalis,8.0,5.5,5.5,,,
Lycopus europaeus,7.06,,9.12,6.5,6.5,0.14
Lycopus exaltatus,7.1,6.33,8.71,7.0,6.5,0.75
Lygeum spartum,8.5,11.5,2.5,8.0,5.5,1.0
Lysichiton americanus,4.0,6.0,9.0,6.0,8.0,0.0
Lysimachia ephemerum,6.0,3.0,8.0,6.0,5.0,0.0
Lysimachia nemorum,,,7.72,5.7,5.67,0.0
Lysimachia nummularia,4.81,5.72,6.61,6.0,5.2,0.0
Lysimachia punctata,,,6.58,6.1,5.14,0.0
Lysimachia serpyllifolia,7.0,,4.0,7.0,4.0,0.0
Lysimachia thyrsiflora,7.0,4.96,9.06,4.5,3.67,0.0
Lysimachia verticillaris,7.5,5.75,7.25,,,
Lysimachia vulgaris,6.83,5.14,8.6,6.3,5.33,0.14
Lythrum acutangulum,9.0,7.0,8.0,4.0,3.0,0.0
Lythrum borysthenicum,8.0,8.5,7.33,4.7,,0.0
Lythrum hyssopifolia,7.89,,7.03,,,1.12
Lythrum junceum,7.5,,7.5,6.3,5.0,0.33
Lythrum linifolium,8.0,6.0,8.0,4.0,2.0,0.0
Lythrum portula,7.88,,7.47,4.0,3.29,0.33
Lythrum salicaria,7.31,5.31,8.61,6.4,5.33,0.57
Lythrum thesioides,8.0,7.5,7.5,3.5,3.5,0.0
Lythrum thymifolia,7.25,,7.12,3.0,4.0,0.0
Lythrum tribracteatum,8.0,7.6,7.5,,3.75,0.6
Lythrum virgatum,7.5,,7.62,6.8,5.0,0.75
Macleaya cordata,,8.0,,,,
Macrochloa tenacissima,9.0,9.0,2.0,8.0,3.0,0.0
Magydaris pastinacea,9.0,9.0,3.0,7.0,2.0,0.0
Mahonia aquifolium,6.75,6.5,4.25,6.5,5.0,0.0
Maianthemum bifolium,3.56,4.45,5.31,3.4,3.14,0.0
Malabaila aurea,7.0,11.0,1.0,7.0,4.0,0.0
Malabaila graveolens,8.0,5.0,5.75,,,
Malaxis monophyllos,,4.3,7.05,5.7,5.33,0.0
Malcolmia chia,7.0,,2.0,8.0,7.0,
Malcolmia flexuosa,8.17,10.5,2.5,7.0,6.0,3.0
Malcolmia graeca,8.0,5.6,4.3,6.6,2.7,0.1
Malcolmia littorea,9.0,9.5,4.5,6.5,4.5,3.5
Malcolmia maritima,9.0,9.5,2.0,7.0,5.67,0.0
Malcolmia orsiniana,9.0,4.0,2.0,7.0,1.0,0.0
Malcolmia ramosissima,9.0,10.0,1.0,3.0,1.0,3.0
Malcolmia triloba,8.2,8.0,3.5,3.9,3.0,1.0
Malephora purpurocrocea,9.0,11.0,2.0,8.0,7.0,1.0
Malope malacoides,9.0,9.0,2.0,7.5,6.5,0.0
Malus dasyphylla,7.0,7.0,5.0,5.0,5.0,
Malus florentina,5.0,6.0,5.0,5.0,3.0,0.0
Malus pumila,6.2,6.3,4.9,6.1,5.3,0.0
Malus sylvestris,6.89,5.51,,6.4,,0.0
Malus sylvestris aggr.,6.0,6.5,5.0,7.0,5.0,0.0
Malva aegyptia,8.0,12.0,2.0,8.0,7.0,
Malva agrigentina,9.0,10.0,2.0,7.0,4.0,0.0
Malva alcea,8.0,6.17,4.2,7.8,7.2,0.0
Malva arborea,8.0,9.0,4.75,7.3,8.0,3.0
Malva cretica,7.33,8.67,4.0,6.7,7.0,0.0
Malva excisa,7.5,5.75,6.5,,,
Malva lusitanica,8.0,10.0,2.0,5.0,4.0,0.0
Malva moschata,7.79,5.68,3.82,6.3,,0.0
Malva multiflora,8.2,8.5,3.6,6.8,7.2,1.5
Malva neglecta,7.78,,4.33,6.8,8.25,0.29
Malva nicaeensis,7.0,8.75,4.33,7.0,7.67,0.33
Malva olbia,7.5,8.5,3.0,6.0,7.5,3.0
Malva parviflora,7.5,,3.75,7.0,7.75,0.0
Malva punctata,7.67,9.33,4.67,7.7,7.33,0.33
Malva pusilla,8.0,,4.32,5.7,6.17,0.83
Malva subovata,7.5,9.0,3.0,6.0,7.5,4.0
Malva sylvestris,8.07,6.2,,7.1,7.62,0.14
Malva thuringiaca,7.25,5.82,4.67,6.0,6.2,0.8
Malva tournefortiana,8.0,7.0,2.5,7.5,6.5,0.0
Malva trimestris,7.6,,4.6,7.3,6.5,0.0
Malva unguiculata,8.0,11.0,5.0,7.0,7.0,0.0
Malvella sherardiana,8.0,6.75,4.5,,,
Mandragora autumnalis,7.5,10.0,3.5,7.5,7.0,0.5
Mandragora officinarum,4.0,7.0,5.0,6.0,4.0,0.0
Mantisalca duriaei,8.0,9.0,3.0,5.0,2.0,0.0
Mantisalca salmantica,8.67,8.0,2.67,6.7,2.67,0.0
Maresia nana,9.0,10.5,2.0,6.5,5.5,2.5
Margotia gummifera,9.0,7.0,2.0,4.0,2.0,
Marrubium alysson,9.0,8.0,3.0,7.0,9.0,0.0
Marrubium cylleneum,7.7,5.6,4.3,6.2,3.0,0.0
Marrubium incanum,9.0,8.0,3.0,7.0,9.0,0.0
Marrubium peregrinum,8.5,7.31,3.55,7.5,6.75,0.25
Marrubium supinum,7.9,6.2,3.3,5.4,7.0,0.0
Marrubium velutinum,8.0,5.3,4.0,5.7,2.7,0.0
Marrubium vulgare,8.72,,3.78,7.8,7.75,0.14
Marsilea quadrifolia,8.0,7.75,9.95,6.8,6.0,0.0
Marsilea strigosa,9.0,9.0,9.0,5.0,2.5,0.5
Matricaria aurea,6.5,,5.5,7.0,7.5,1.0
Matricaria chamomilla,7.38,,5.34,6.1,5.57,1.88
Matricaria discoidea,7.86,5.07,5.07,6.7,7.67,0.17
Matthiola fragrans,8.5,4.75,2.75,,,
Matthiola fruticulosa,9.0,,1.75,7.0,1.25,0.0
Matthiola incana,8.5,9.5,3.75,7.3,,4.25
Matthiola longipetala,9.0,12.0,2.0,8.0,6.0,4.0
Matthiola odoratissima,8.5,6.0,2.25,,,
Matthiola perennis,9.0,3.0,1.0,7.0,1.0,
Matthiola sinuata,9.0,9.44,3.0,7.3,,2.75
Matthiola tricuspidata,9.0,10.5,3.5,7.0,6.5,3.0
Mattiastrum lithospermifolium,8.0,7.0,3.0,8.0,7.0,0.0
Meconopsis cambrica,5.0,,5.67,,4.67,0.0
Medicago arabica,7.94,,,7.3,5.12,0.0
Medicago arborea,8.0,9.67,3.67,6.7,5.33,0.33
Medicago blancheana,9.0,9.0,2.0,,2.0,0.0
Medicago carstiensis,8.0,8.0,3.0,9.0,3.0,0.0
Medicago constricta,7.0,11.0,4.0,,6.0,0.0
Medicago coronata,8.0,9.67,2.0,8.0,3.0,0.5
Medicago disciformis,8.0,10.0,2.5,8.0,5.5,0.5
Medicago doliata,8.0,9.0,5.33,7.0,6.33,0.0
Medicago falcata,8.0,,3.97,8.2,,0.2
Medicago fischeriana,8.0,5.75,5.25,,,
Medicago glomerata,8.0,8.0,5.0,7.0,5.0,0.0
Medicago heyniana,7.0,11.0,4.0,8.0,5.0,0.0
Medicago hybrida,8.0,3.0,3.0,8.0,4.0,0.0
Medicago intertexta,8.0,9.5,5.17,7.5,6.5,0.33
Medicago littoralis,8.67,9.67,2.67,7.0,5.67,2.67
Medicago lupulina,7.3,5.39,4.07,7.6,4.21,0.44
Medicago marina,8.88,,4.62,7.0,6.33,3.33
Medicago minima,8.69,7.0,2.81,7.4,,0.43
Medicago monspeliaca,8.1,8.1,2.75,7.8,,0.0
Medicago murex,8.0,10.0,5.0,5.0,5.0,0.0
Medicago muricoleptis,7.0,8.0,4.0,7.0,6.0,0.0
Medicago orbicularis,7.6,8.15,3.6,7.5,,0.0
Medicago pironae,8.0,7.0,3.0,9.0,3.0,0.0
Medicago polyceratia,8.0,8.0,3.0,8.0,6.0,0.0
Medicago polymorpha aggr.,8.5,,3.5,6.4,5.3,0.12
Medicago praecox,8.0,10.0,3.5,7.5,5.5,0.5
Medicago prostrata,8.67,8.0,2.0,8.3,2.0,0.0
Medicago rhodopea,8.2,7.0,3.5,7.8,2.7,0.1
Medicago rigidula,8.38,7.88,2.38,7.7,,1.0
Medicago rugosa,8.0,11.0,2.5,7.5,5.5,0.5
Medicago rupestris,8.5,5.25,3.25,,,
Medicago sativa,8.0,,4.4,7.4,5.67,0.12
Medicago sativa aggr.,8.0,6.5,4.0,7.0,4.0,1.0
Medicago saxatilis,8.5,5.25,3.25,,,
Medicago scutellata,7.67,,5.0,6.7,6.0,0.0
Medicago secundiflora,9.0,11.0,3.0,5.0,3.0,0.0
Medicago strasseri,,11.0,,8.0,6.0,1.0
Medicago suffruticosa,8.0,9.0,3.0,8.0,3.0,0.0
Medicago tenoreana,8.5,8.5,3.5,7.0,5.5,0.0
Medicago tornata,9.0,9.0,3.0,6.0,4.0,0.0
Medicago truncatula,8.0,9.5,3.0,,5.0,2.0
Megathyrsus bivonianus,8.0,10.0,5.0,6.0,6.0,0.0
Melampyrum arvense,7.11,6.43,3.75,8.0,3.5,0.0
Melampyrum barbatum,7.5,7.0,3.5,7.5,4.5,0.0
Melampyrum catalaunicum,6.0,5.67,3.5,4.0,2.5,0.0
Melampyrum cristatum,6.43,,3.56,7.8,2.67,0.0
Melampyrum fimbriatum,6.0,7.0,3.0,7.0,3.0,0.0
Melampyrum herbichii,5.5,3.62,5.88,2.0,2.0,0.0
Melampyrum italicum,6.0,6.5,3.0,7.0,3.0,0.0
Melampyrum nemorosum aggr.,5.08,,4.64,5.4,3.8,0.0
Melampyrum polonicum,6.0,4.5,6.5,,,
Melampyrum pratense,,,5.08,3.0,2.23,0.0
Melampyrum scardicum,,,5.0,,,
Melampyrum subalpinum,5.5,5.33,4.5,4.0,2.5,0.0
Melampyrum sylvaticum,4.5,3.67,5.18,2.0,2.0,0.0
Melampyrum sylvaticum aggr.,5.0,4.0,5.0,2.0,2.0,0.0
Melampyrum variegatum,6.0,7.0,3.0,7.0,3.0,0.0
Melampyrum velebiticum,6.0,6.5,6.0,7.0,5.0,0.0
Melanortocarya obtusifolia,8.0,9.0,3.0,7.0,3.0,0.0
Melica altissima,6.0,5.75,4.67,7.5,4.0,0.0
Melica amethystina,8.0,8.5,2.0,5.0,2.0,0.0
Melica ciliata aggr.,8.12,,2.42,7.4,2.76,0.0
Melica cupanii,8.0,11.0,2.0,5.0,2.0,0.0
Melica minuta,7.33,9.25,3.67,,4.67,0.33
Melica nutans,4.25,5.25,4.58,6.6,3.29,0.0
Melica nutans aggr.,4.0,6.5,5.0,6.0,4.0,0.0
Melica picta,5.1,7.33,4.29,6.8,3.75,0.0
Melica rectiflora,7.0,,3.0,6.0,3.0,0.0
Melica transsilvanica,7.5,7.19,2.83,6.3,3.0,0.0
Melica uniflora,3.81,5.66,5.28,6.4,5.14,0.0
Melilotus albus,8.67,,,6.8,3.88,0.14
Melilotus altissimus,8.0,6.18,6.64,7.0,,1.17
Melilotus dentatus,7.83,6.0,6.17,7.0,4.8,3.0
Melilotus elegans,7.5,9.5,3.5,7.5,6.5,0.0
Melilotus indicus,8.33,,4.17,6.5,5.83,1.0
Melilotus infestus,8.5,8.5,3.5,7.5,6.5,2.5
Melilotus italicus,7.0,9.67,3.5,6.0,5.5,0.5
Melilotus messanensis,8.0,10.33,4.33,7.0,6.0,3.0
Melilotus neapolitanus,7.88,,3.75,7.3,6.33,0.0
Melilotus officinalis,8.12,,3.75,7.3,,0.17
Melilotus segetalis,8.0,10.0,7.0,5.5,5.0,0.33
Melilotus sulcatus,8.0,9.33,5.0,6.5,6.0,1.0
Melilotus wolgicus,8.0,6.0,4.0,7.0,5.0,0.0
Melissa officinalis,6.07,,,7.1,4.75,0.0
Melittis melissophyllum,,,,,3.14,0.0
Meniocus linifolius,8.0,5.75,3.5,,,
Mentha aquatica,7.06,,8.75,6.6,5.0,0.29
Mentha arvensis,7.11,,7.53,5.9,,0.14
Mentha cervina,8.0,8.0,8.0,8.0,6.0,0.0
Mentha longifolia,7.28,,7.95,7.8,,0.14
Mentha pulegium,8.17,,7.2,,,1.0
Mentha requienii,7.0,,8.0,3.5,2.0,0.0
Mentha spicata,7.0,,7.6,7.2,6.67,0.2
Mentha spicata aggr.,7.0,6.0,8.0,8.0,7.0,1.0
Mentha suaveolens,7.86,,7.29,6.2,5.57,0.67
Menyanthes trifoliata,7.83,4.75,9.62,4.3,2.5,0.0
Mercurialis annua,7.5,,,7.1,,0.14
Mercurialis corsica,5.5,7.0,4.0,3.0,4.0,0.0
Mercurialis huetii,6.0,8.0,4.0,8.0,8.0,0.0
Mercurialis ovata,5.6,6.33,4.1,7.3,4.75,0.0
Mercurialis perennis,,,5.54,7.4,6.62,0.0
Mercurialis perennis aggr.,4.0,6.0,5.0,7.0,7.0,0.0
Mercurialis tomentosa,6.0,8.0,4.0,8.0,8.0,0.0
Mertensia maritima,8.0,,5.0,7.0,7.0,3.0
Mesembryanthemum crystallinum,8.67,10.0,2.33,8.0,6.67,3.67
