species,aggregate_species,dataset_1_region,dataset_2_region,evergreen,gymnosperm,shade_tolerance,drought_tolerance,waterlogging_tolerance
Abelia × grandiflora (A. chinesis × A. uniflora),N,East Asia,East Asia,Y,N,3.5,2,1
Abies alba,N,Europe,Europe,Y,Y,4.6±0.06,1.81±0.28,1.02±0.02
Abies amabilis,N,North America,North America,Y,Y,4.21±0.37,0.83±0.17,1
Abies balsamea,N,North America,North America,Y,Y,5.01±0.09,1,2
Abies concolor,N,North America,North America,Y,Y,4.33±0.28,1.91±0.12,1.02±0.02
Abies firma,N,East Asia,East Asia,Y,Y,4.5,3,1
Abies fraseri,N,North America,North America,Y,Y,5±0,2,2
Abies grandis,N,North America,North America,Y,Y,4.01±0.19,2.33±0.33,1.57±0.3
Abies homolepis,N,East Asia,East Asia,Y,Y,4.5,2.5±0.5,1.5
Abies lasiocarpa,N,North America,North America,Y,Y,4.83±0.15,2.02±0.02,0.97±0.04
Abies magnifica,N,North America,North America,Y,Y,3.5±0.22,0.67±0.33,1
Abies mariesii,N,East Asia,East Asia,Y,Y,5,2,2±0.5
Abies nordmanniana,N,Europe,Europe,Y,Y,4.5,1,1.5
Abies procera,N,North America,North America,Y,Y,2.45±0.42,2.5,1
Abies sibirica,N,East Asia,East Asia,Y,Y,4.09±0.32,1.41±0.15,1.57±0.16
Abies veitchii,N,East Asia,East Asia,Y,Y,4.5,2.5±0.5,2±0
Acacia rigidula,N,North America,North America,N,N,1,5,1
Acer barbatum,N,North America,North America,N,N,4.5,2.5±0.5,1
Acer buergerianum,N,East Asia,East Asia,N,N,3,2.75,1.53
Acer campestre,N,Europe,Europe,N,N,3.18±0.14,2.93±0.32,1.89±0.18
Acer carpinfolium,N,East Asia,East Asia,N,N,3.5,1,1.5
Acer circinatum,N,North America,North America,N,N,4.75±0.25,2,1
Acer ginnala,N,East Asia,East Asia,N,N,3±0,2.88±0.12,1.27±0.27
Acer glabrum,N,North America,North America,N,N,3.39±0.39,2.88±0.12,1.27±0.27
Acer grandidentatum,N,North America,North America,N,N,3±0,2.63±0.13,1.27±0.27
Acer griseum,N,East Asia,East Asia,N,N,3±0,1.53,1.53
Acer macrophyllum,N,North America,North America,N,N,4.14±0.14,2,2
Acer mono,N,East Asia,East Asia,N,N,4.25±0.25,2.67±0.33,1.5±0.5
Acer monspessulanum,N,Europe,Europe,N,N,2.66±0,4.31±0.41,1.04
Acer negundo,N,North America,North America,N,N,3.47±0.1,3.03±0.82,2.75±0.25
Acer nigrum,N,North America,North America,N,N,3±0,3.35±0.35,1.52±0.48
Acer opalus,Y,Europe,Europe,N,N,3.48±0.1,3.72±0.17,1.04
Acer palmatum,N,East Asia,East Asia,N,N,4.19±0.31,1.77±0.23,1.52±0.49
Acer pensylvanicum,N,North America,North America,N,N,3.56±0.44,2,1
Acer platanoides,N,Europe,Europe,N,N,4.2±0.37,2.73±0.16,1.46±0.23
Acer pseudoplatanus,N,Europe,Europe,N,N,3.73±0.21,2.75±0.16,1.1±0.08
Acer rubrum,N,North America,North America,N,N,3.44±0.23,1.84±0.16,3.08±0.28
Acer saccharinum,N,North America,North America,N,N,3.6±0.31,2.88±0.12,3.37±0.22
Acer saccharum,N,North America,North America,N,N,4.76±0.11,2.25±0.25,1.09±0.08
Acer spicatum,N,North America,North America,N,N,3.31±0.19,2,2
Acer tataricum,N,Europe,Europe,N,N,3.48,3.37±0.32,1.47±0.06
Acer truncatum,N,East Asia,East Asia,N,N,3,2.75,1.53
Aesculus californica,N,North America,North America,N,N,2.5±0.5,2.88±0.12,1.77±0.23
Aesculus flava,N,North America,North America,N,N,4.14±0.14,2,1.12±0.12
Aesculus glabra,N,North America,North America,N,N,3.49±0.3,2.88±0.12,1.27±0.27
Aesculus hippocastanum,N,Europe,Europe,N,N,3.43±0.27,2.82±0.15,1.39±0.17
Aesculus pavia,N,North America,North America,N,N,4,2±0,2
Aesculus sylvatica,N,North America,North America,N,N,3.56±0.44,2,2
Aesculus turbinata,N,East Asia,East Asia,N,N,3.5±0.29,2.17±0.17,3±0
Aesculus × carnea (A. hippocastaneum × A. pavia),N,North America,Europe,N,N,3,2.75,1.53
Ailanthus altissima,N,East Asia,East Asia,N,N,2.44±0.44,2.96±0.12,1.52±0.27
Alangium platanifolium,N,East Asia,East Asia,N,N,3.09±0.42,2.5±0.5,1.5±0.5
Albizia julibrissin,N,East Asia,East Asia,N,N,1.17±0.17,4.47±0.47,1.52±0.48
Alnus formosana,N,East Asia,East Asia,N,N,2.5,2.5,2.5
Alnus glutinosa,N,Europe,Europe,N,N,2.71±0.5,2.22±0.66,3.9±0.2
Alnus hirsuta,N,East Asia,East Asia,N,N,1.25±0.25,2.5±0.5,2.67±0.33
Alnus incana,N,Europe,Europe,N,N,2.3±0.25,1.89±0.29,2.84±0.34
Alnus incana ssp. rugosa,N,North America,North America,N,N,1,2,2.85±0.25
Alnus incana ssp. tenuifolia,N,North America,North America,N,N,1.59±0.59,2.03±0.03,3.18±0.18
Alnus japonica,N,East Asia,East Asia,N,N,1.5±0.5,2,4±0
Alnus maximowiczii,N,East Asia,East Asia,N,N,1±0,2,3
Alnus metoporina,N,North America,North America,N,N,1,2,3
Alnus oblongifolia,N,North America,North America,N,N,1,1,3
Alnus pendula,N,East Asia,East Asia,N,N,1.42±0.09,2,3
Alnus rhombifolia,N,North America,North America,N,N,1.5,1,3.5
Alnus rubra,N,North America,North America,N,N,1.83±0.21,2.5,2.56±0.72
Alnus sieboldiana,N,East Asia,East Asia,N,N,1.5±0.5,1.75±0.25,3±0
Alnus viridis,N,Europe,Europe,N,N,1.84±0.09,2.48±0.27,2.66±0.52
Alnus viridis ssp. sinuata,N,North America,North America,N,N,1.5,2,3
Amelanchier alnifolia,N,North America,North America,N,N,3±0,2.88±0.12,1.02±0.02
Amelanchier arborea,N,North America,North America,N,N,4.33±0.33,2.38±0.38,3.5±0.5
Amelanchier canadensis,N,North America,North America,N,N,2.86±0.14,2.52±0.52,1.39±0.39
Amelanchier laevis,N,North America,North America,N,N,3.06±0.06,3,3
Amelanchier ovalis,N,Europe,Europe,N,N,1.93,4.72,2.5
Amelanchier utahensis,N,North America,North America,N,N,2.5±0.5,4.47±0.47,1.02±0.02
Andromeda polifolia,N,Europe,North America,Y,N,1.2,0.53,4.27
Aralia elata,N,East Asia,East Asia,N,N,1.67±0.17,3,1
Aralia spinosa,N,North America,North America,N,N,1.25±0.25,4,2
Arbutus menziesii,N,North America,North America,Y,N,3.32±0.34,3.83±0.17,1
Arbutus unedo,N,Europe,Europe,Y,N,2.66,3.9,1.04
Arctostaphylos alpina,N,Europe,North America,Y,N,1.93±0,2.62±0.42,2.5
Arctostaphylos uva ursi,N,Europe,North America,Y,N,1.93±0,3.88±0.84,2.5
Ardisia sieboldii,N,East Asia,East Asia,Y,N,4,2,1.5
Asimina triloba,N,North America,North America,N,N,3.95±0.05,2,1.37±0.13
Aucuba japonica,N,East Asia,East Asia,Y,N,4.5±0,3,1.5±0.5
Berberis amurensis,N,East Asia,East Asia,N,N,1.75±0.25,3,1.75±0.25
Berberis thunbergii,N,East Asia,East Asia,N,N,1.5,3.5,1.5±0.5
Berberis vulgaris,N,Europe,Europe,N,N,1.93,3.88,1.32±0.28
Betula alleghaniensis,N,North America,North America,N,N,3.17±0.16,3,2
Betula apoiensis,N,East Asia,East Asia,N,N,1±0,2,2
Betula ermanii,N,East Asia,East Asia,N,N,1.25±0.25,2,1.75±0.25
Betula grossa,N,East Asia,East Asia,N,N,1.5,2,1.5
Betula humilis,N,Europe,Europe,N,N,1.93,0.53,4.27
Betula lenta,N,North America,North America,N,N,2.58±0.28,3,1
Betula maximowicziana,N,East Asia,East Asia,N,N,1.25±0.25,1.57,1.25±0.25
Betula nana,N,Europe,North America,N,N,1.56±0.19,0.11±0.42,4.27
Betula nigra,N,North America,North America,N,N,1.45±0.1,1.53±0.2,2.85±0.35
Betula occidentalis,N,North America,North America,N,N,3.28±0.55,1.27±0.27,2.63±0.37
Betula papyrifera,N,North America,North America,N,N,1.54±0.16,2.02±0.3,1.25±0.15
Betula pendula,N,Europe,Europe,N,N,2.03±0.09,1.85±0.21,1.67±0.12
Betula platyphylla,N,East Asia,East Asia,N,N,1.25±0.25,2.5,1.83±0.17
Betula populifolia,N,North America,North America,N,N,1.5±0.5,2.34±0.22,1
Betula pubescens,N,Europe,Europe,N,N,1.85±0.07,1.27±0.18,2.98±0.21
Betula pubescens ssp. carpatica,N,Europe,Europe,N,N,1.2,2.21,1.04
Broussonetia kazinoki,N,East Asia,East Asia,N,N,1.5,4,1.5
Buddleja davidii,N,East Asia,East Asia,N,N,1.56±0.19,3.46±0.42,1.04
Buxus sempervirens,N,Europe,Europe,Y,N,4.05±0.13,3.88±0,1.04
Calluna vulgaris,N,Europe,Europe,Y,N,1.56±0.19,2.21,3.19
Calocedrus decurrens,N,North America,North America,Y,Y,3.21±0.53,3.79±0.11,1.27±0.27
Camellia japonica,N,East Asia,East Asia,Y,N,4±0.29,2,1±0
Caragana arborescens,N,East Asia,East Asia,N,N,1.5,4,1
Caragana frutex,N,Europe,Europe,N,N,1.5,2.5,1
Carpinus betulus,N,Europe,Europe,N,N,3.97±0.12,2.66±0.16,1.65±0.06
Carpinus caroliniana,N,North America,North America,N,N,4.58±0.21,2.02±0.02,2.3±0.5
Carpinus cordata,N,East Asia,East Asia,N,N,3.5±0,2,2.5±0.5
Carpinus laxiflora,N,East Asia,East Asia,N,N,3±0.29,2,2
Carpinus tschonoskii,N,East Asia,East Asia,N,N,2.83±0.44,3,1.5
Carya aquatica,N,North America,North America,N,N,2.95,2±0,4.25±0.22
Carya cordiformis,N,North America,North America,N,N,2.07±0.07,4,2.5±0.5
Carya glabra,N,North America,North America,N,N,2.69±0.35,4±0,1.16±0.08
Carya illinoiensis,N,North America,North America,N,N,1.74±0.26,2,2.98±0.45
Carya laciniosa,N,North America,North America,N,N,4.42,2,1.48±0.36
Carya myristiciformis,N,North America,North America,N,N,3.71±0.71,2,2
Carya ovata,N,North America,North America,N,N,3.4±0.29,3,1.38±0.08
Carya pallida,N,North America,North America,N,N,1.56,4,1
Carya tomentosa,N,North America,North America,N,N,2.2±0.48,3,1.26±0.11
Castanea crenata,N,East Asia,East Asia,N,N,3,2.5,1
Castanea dentata,N,North America,North America,N,N,3.06±0.06,3,1
Castanea mollissima,N,East Asia,East Asia,N,N,1.67±0.33,2.63±0.13,1.27±0.27
Castanea pumila,N,North America,North America,N,N,2.5,4,1
Castanea sativa,N,Europe,Europe,N,N,3.15±0.23,3.46±0.18,1.32±0.28
Castanopsis cuspidata,N,East Asia,East Asia,Y,N,4.07±0.23,2.5±0.5,2
Castanopsis eyrei,N,East Asia,East Asia,Y,N,3,3,1.5
Castanopsis lamontii,N,East Asia,East Asia,Y,N,4,2,2
Castanopsis sieboldii,N,East Asia,East Asia,Y,N,4±0.29,3,2
Catalpa bignonioides,N,North America,North America,N,N,2.67±0.33,2.58±0.3,1.27±0.27
Catalpa speciosa,N,North America,North America,N,N,2.33±0.33,4.22±0.35,1.27±0.27
Cedrus deodara,N,East Asia,East Asia,Y,Y,2.59±0.41,3.85±0.15,1.02±0.02
Cedrus libani,N,Europe,Europe,Y,Y,1.35,2.75,1.03
Celtis laevigata,N,North America,North America,N,N,3.31±0.58,3.56±0.3,2.73±0.27
Celtis occidentalis,N,North America,North America,N,N,3.17±0.17,3.85±0.15,2.65±0.16
Celtis tenuifolia,N,North America,North America,N,N,1.56,4,1
Cephalanthus occidentalis,N,North America,North America,N,N,2.75±1.25,3,4.92±0.08
Cercidiphyllum japonicum,N,East Asia,East Asia,N,N,2.34±0.34,1.53,2.14±0.37
Cercis canadensis,N,North America,North America,N,N,3±0,4.05±0.4,1.31±0.09
Cercis occidentalis,N,North America,North America,N,N,2.09±0.09,3.35±0.35,1.03
Cercocarpus ledifolius,N,North America,North America,Y,N,1.35,4.97±0.03,1.27±0.27
Chamaecyparis lawsoniana,N,North America,North America,Y,Y,3.67±0.38,2.06±0.58,1.02±0.02
Chamaecyparis nootkatensis,N,North America,North America,Y,Y,4.15±0.32,2,1.9±0.1
Chamaecyparis obtusa,N,East Asia,East Asia,Y,Y,4.38±0.13,2.88±0.13,1.52±0.49
Chamaecyparis thyoides,N,North America,North America,Y,Y,3.5±0.18,1±0,4.04±0.54
Chamaecytisus ratisbonensis,N,Europe,Europe,N,N,2.66,3.88,1.04
Chamaecytisus supinus,N,Europe,Europe,N,N,1.93,4.72,1.04
Chamaedaphne calyculata,N,Europe,North America,Y,N,1.93,0.53,4.27
Chamaespartium sagittale,N,Europe,Europe,N,N,1.2,3.88,1.04
Chilopsis linearis,N,North America,North America,N,N,1.67±0.33,3.85±0.15,1.27±0.27
Chimaphila umbellata,N,Europe,North America,Y,N,3.38,3.88,1.77
Chionanthus virginicus,N,North America,North America,N,N,3.83±0.83,2.42±0.22,1.51±0.29
Chrysoplepis chrysophylla,N,North America,North America,Y,N,3,4,1
Cinnamomum camphora,N,East Asia,East Asia,Y,N,3.5±0.29,2.75±0.25,1.5
Citrus limon,N,East Asia,East Asia,Y,N,2,3,1
Citrus sinensis,N,East Asia,East Asia,Y,N,2,4,1
Citrus × paradisi (C. maxima × C. sinensis),N,East Asia,East Asia,Y,N,2,3,1
Cladrastis lutea,N,North America,North America,N,N,3,2.88±0.12,1.02±0.02
Clematis alpina,N,Europe,Europe,N,N,3.38,3.04,1.04
Clerodendrum trichotomum,N,East Asia,East Asia,N,N,1.33±0.33,3,2
Clethra alnifolia,N,North America,North America,N,N,3,2,3.5±0.5
Clethra barbinervis,N,East Asia,East Asia,N,N,2,2.75±0.75,2.75±0.25
Cleyera japonica,N,East Asia,East Asia,Y,N,3.5±0.29,2,1.75±0.25
Colutea arborescens,N,Europe,Europe,N,N,3.38,3.88,1.02±0.02
Cornus alternifolia,N,North America,North America,N,N,4,1.77±0.23,1.02±0.02
Cornus amomum,N,North America,North America,N,N,3,2,3±0
Cornus controversa,N,East Asia,East Asia,N,N,2±0.5,2.5±0.5,2±0
Cornus florida,N,North America,North America,N,N,4.87±0.12,2.92±0.08,1.1±0.06
Cornus kousa,N,East Asia,East Asia,N,N,3,1.53,1.03
Cornus mas,N,Europe,Europe,N,N,2.68±0.33,3.17±0.42,1.77±0
Cornus nuttallii,N,North America,North America,N,N,4.5,2,1
Cornus racemosa,N,North America,North America,N,N,4,3,1.5±0.5
Cornus sanguinea,N,Europe,Europe,N,N,1.93,3.04,1.88±0.11
Cornus sericea,N,North America,North America,N,N,2.86±0.14,2.48±0.27,2.12±0.15
Coronilla emerus,N,Europe,Europe,N,N,1.93,4.72,1.04
Corylus americana,N,North America,North America,N,N,3.5±0.5,2.88±0.12,1.27±0.27
Corylus avellana,N,Europe,Europe,N,N,3.53±0.23,3.04,1.68±0.09
Corylus colurna,N,Europe,Europe,N,N,1.35,3.13±0.37,1.53
Corylus cornuta,N,North America,North America,N,N,3,2.88±0.12,1.27±0.27
Corylus heterophylla,N,East Asia,East Asia,N,N,3.5±0.5,2.75±0.25,1.75±0.25
Corylus sieboldiana,N,East Asia,East Asia,N,N,3.5±0.5,2.5±0.5,2±0
Cotinus coggygria,N,Europe,Europe,N,N,1.93,3.74±0.14,1.04±0
Cotinus obovatus,N,North America,North America,N,N,3,3.69,1.03
Cotoneaster bullatus,N,East Asia,East Asia,N,N,1.93,3.88,1.04
Cotoneaster horizontalis,N,East Asia,East Asia,N,N,3.38,3.46,1.04
Cotoneaster integerrimus,N,Europe,Europe,N,N,1.2±0,3.46±0,1.04
Cotoneaster integrifolius,N,Europe,Europe,N,N,1.93,3.46,1.04
Cotoneaster simonsii,N,East Asia,East Asia,Y,N,2.66,3.04,1.04
Cotoneaster tomentosus,N,Europe,Europe,N,N,1.93,3.46,1.04
Cowania mexicana,N,North America,North America,Y,N,1.35,4.95,1.03
Crataegus chlorosarca,N,East Asia,East Asia,N,N,1.5,3,1
Crataegus crus galli,N,North America,North America,N,N,1.67±0.33,4.98±0.02,1.27±0.27
Crataegus laevigata agg.,Y,Europe,Europe,N,N,2.45±0.28,2.9±0.15,1.1±0.08
Crataegus maximowiczii,N,East Asia,East Asia,N,N,2,3,1
Crataegus monogyna agg.,Y,Europe,Europe,N,N,1.93±0,3.46±0.42,1.68±0.09
Crataegus phaenopyrum,N,North America,North America,N,N,2.59±0.41,2.88±0.12,1.27±0.27
Crataegus viridis,N,North America,North America,N,N,1.67±0.33,3.85±0.15,2.13±0.13
Crataegus × lavallei (C. stipulacea × C. crus galli),N,North America,Europe,N,N,3.25±0.25,3.69,1.27±0.27
Cryptomeria japonica,N,East Asia,East Asia,Y,Y,3.17±0.44,2.75±0.25,2±1
Cupressus arizonica,N,North America,North America,Y,Y,1.42±0.08,4.47±0.47,1.02±0.02
Cupressus sempervirens,N,Europe,Europe,Y,Y,1.35,4.95,1.03
Cydonia oblonga,N,Europe,Europe,N,N,1.2,3.88,1.77
Cytisus scoparius,N,Europe,Europe,Y,N,1.2±0,3.46±0.42,1.04
Daboecia cantabrica,N,Europe,Europe,Y,N,1.2,3.04,3.19
Daphne alpina,N,Europe,Europe,N,N,1.2,3.88,1.04
Daphne cneorum,N,Europe,Europe,Y,N,2.66,3.88,1.77
Daphne kamtschatica,N,East Asia,East Asia,N,N,4.17±0.44,2,1
Daphne laureola,N,Europe,Europe,Y,N,2.66±0,3.46±0.42,1.04
Daphne mezereum,N,Europe,Europe,N,N,4.11±0,3.04±0,1.04
Daphne striata,N,Europe,Europe,Y,N,1.93,3.88,1.04
Daphniphyllum macropodum,N,East Asia,East Asia,Y,N,3.5±0.29,2.5±0.5,2.5±0.5
Diospyros virginiana,N,North America,North America,N,N,4.21±0.21,1.5±0.5,2.6±0.21
Distylium racemosum,N,East Asia,East Asia,Y,N,4.25±0.25,2,1.6±0.4
Dorycnium germanicum,N,Europe,Europe,N,N,1.93,4.72,1.04
Dryas octopetala,N,Europe,North America,Y,N,1.02±0.09,3.88±0,2.5
Elaeagnus angustifolia,N,Europe,Europe,N,N,1.35,4.47±0.47,1.52±0.48
Empetrum hermaphroditum,N,Europe,North America,Y,N,1.2,2.21,3.91
Empetrum nigrum,N,Europe,North America,Y,N,1.93±0,2.21±0,3.91
Erica ciliaris,N,Europe,Europe,Y,N,1.2,1.37,3.91
Erica cinerea,N,Europe,Europe,Y,N,1.93±0,3.04±0,1.77
Erica erigena,N,Europe,Europe,Y,N,1.2,0.53,2.83
Erica mackaiana,N,Europe,Europe,Y,N,1.2,0.53,3.19
Erica tetralix,N,Europe,Europe,Y,N,1.2±0,0.53±0,3.19
Erica vagans,N,Europe,Europe,Y,N,1.2,2.21,2.83
Eriobotrya japonica,N,East Asia,East Asia,Y,N,3.33±0.33,3.35±0.35,2.27
Euonymus alatus,N,East Asia,East Asia,N,N,4.33±0.33,2,2
Euonymus americanus,N,North America,North America,N,N,4,2.5,2
Euonymus europaeus,N,Europe,Europe,N,N,3.02±0.19,3.04±0,2.11
Euonymus latifolius,N,Europe,Europe,N,N,4.11,3.04,1.77
Euonymus oxyphyllus,N,East Asia,East Asia,N,N,3.67±0.67,3,2
Euonymus sieboldianus,N,East Asia,East Asia,N,N,2.75±0.25,3,2.5±0.5
Euonymus verrucosus,N,Europe,Europe,N,N,3.38,3.04,1.77
Eurya japonica,N,East Asia,East Asia,Y,N,3.83±0.17,2.5±0.5,1.5
Fagus crenata,N,East Asia,East Asia,N,N,5±0,1.75,1.75±0.25
Fagus engleriana,N,East Asia,East Asia,N,N,4.5,1,1.2
Fagus grandifolia,N,North America,North America,N,N,4.75±0.14,1.5±0.32,1.5±0.06
Fagus hayatae,N,East Asia,East Asia,N,N,4.5,1.5,1
Fagus japonica,N,East Asia,East Asia,N,N,4.5,2,1.5±0.5
Fagus longipetiolata,N,East Asia,East Asia,N,N,4.5,1.5,1.2
Fagus lucida,N,East Asia,East Asia,N,N,4,1,1.2
Fagus orientalis,N,Europe,Europe,N,N,4.2,2.7,1
Fagus sylvatica,N,Europe,Europe,N,N,4.56±0.11,2.4±0.43,1.02±0.01
Forestiera acuminata,N,North America,North America,N,N,1.5,2,4.89±0.11
Frangula alnus,N,Europe,Europe,N,N,2.66±0,1.37±0,3.19±0
Fraxinus americana,N,North America,North America,N,N,2.46±0.21,2.38±0.38,2.59±0.18
Fraxinus anomala,N,North America,North America,N,N,1.17±0.17,2.88±0.12,1.27±0.27
Fraxinus caroliniana,N,North America,North America,N,N,3.5,2±0,5±0
Fraxinus excelsior,N,Europe,Europe,N,N,2.66±0.13,2.5±0.25,2.7±0.3
Fraxinus lanuginosa,N,East Asia,East Asia,N,N,3.25±0.25,2.5±0.5,2
Fraxinus latifolia,N,North America,North America,N,N,3,2,3
Fraxinus mandshurica,N,East Asia,East Asia,N,N,2.75±0.75,1.75±0.25,3.25±0.25
Fraxinus nigra,N,North America,North America,N,N,2.96±0.43,2,3.5
Fraxinus ornus,N,Europe,Europe,N,N,3.02±0.38,4.31±0.41,2.5
Fraxinus pennsylvanica,N,North America,North America,N,N,3.11±0.11,3.85±0.15,2.98±0.25
Fraxinus platypoda,N,East Asia,East Asia,N,N,3,2,3
Fraxinus profunda,N,North America,North America,N,N,3,2,5±0
Fraxinus quadrangulata,N,North America,North America,N,N,1.84±0.34,2.75,1.53
Fraxinus velutina,N,North America,North America,N,N,2.5±0.5,3.35±0.35,1.77±0.23
Fumana procumbens,N,Europe,Europe,Y,N,1.2,4.72,1.04
Gardenia jasminoides,N,East Asia,East Asia,Y,N,2.5,2,1
Gaultheria shallon,N,North America,North America,Y,N,3,2,2.5
Genista anglica,N,Europe,Europe,Y,N,1.2±0,3.46±0.42,1.77
Genista germanica,N,Europe,Europe,N,N,1.93,3.88,1.77
Genista pilosa,N,Europe,Europe,Y,N,1.56±0.19,3.46±0.42,1.41
Genista tinctoria,N,Europe,Europe,N,N,1.2±0,3.88±0,1.77
Ginkgo biloba,N,East Asia,East Asia,N,Y,1.34±0.33,3.99±0.47,1.13±0.27
Gleditsia aquatica,N,North America,North America,N,N,2,2,4.38±0.3
Gleditsia triacanthos,N,North America,North America,N,N,1.61±0.2,4.98±0.02,2.69±0.25
Gordonia lasianthus,N,North America,North America,Y,N,3,2±0,4.07±0.93
Gymnocladus dioica,N,North America,North America,N,N,2.5±0.5,3.69,1.14±0.11
Halesia carolina,N,North America,North America,N,N,3.11,2±0,3
Hamamelis virginiana,N,North America,North America,N,N,3,2,1.5±0.5
Helianthemum alpestre,Y,Europe,Europe,Y,N,1.22,3.88,1.04
Helianthemum apenninum,N,Europe,Europe,Y,N,1.22±0,4.72±0,1.04
Helianthemum canum,N,Europe,Europe,Y,N,1.22±0,4.72±0,1.04
Helianthemum nummularium,Y,Europe,Europe,Y,N,1.56±0.21,4.2±0.2,1.04
Heteromeles arbutifolia,N,North America,North America,Y,N,1.5,4.5,1
Hibiscus rosa sinensis,N,East Asia,East Asia,Y,N,1,3,2
Hippophae rhamnoides,N,Europe,Europe,N,N,1.2±0,3.46±0.42,1.88±0.11
Hydrangea macrophylla,N,East Asia,East Asia,N,N,2.92±0.58,3,3
Hydrangea paniculata,N,East Asia,East Asia,N,N,2.33±0.33,3,2
Hyssopus officinalis,N,Europe,Europe,Y,N,1.2,4.72,1.04
Ilex aquifolium,N,Europe,Europe,Y,N,3.86±0.19,3.04±0,1.39±0.39
Ilex cassine,N,North America,North America,Y,N,4,2.5±0.5,4
Ilex cornuta,N,East Asia,East Asia,Y,N,3±1,3,2
Ilex decidua,N,North America,North America,N,N,4,2,2.8±0.21
Ilex opaca,N,North America,North America,Y,N,4.28±0.37,2.92±0.08,1.93±0.11
Ilex verticillata,N,North America,North America,N,N,3,2,3.6±0.54
Ilex vomitoria,N,North America,North America,Y,N,2.5,4.5±0.5,1
Illicium anisatum,N,East Asia,East Asia,Y,N,3.83±0.17,2.5,2
Itea virginica,N,North America,North America,N,N,4,2,4.5±0.5
Juglans ailanthifolia,N,East Asia,East Asia,N,N,2.75±0.75,2,2
Juglans cinerea,N,North America,North America,N,N,1.88±0.21,2.38±0.38,1.27±0.27
Juglans major,N,North America,North America,N,N,1.35,4.95,1.77±0.23
Juglans nigra,N,North America,North America,N,N,1.93±0.25,2.38±0.38,1.83±0.27
Juglans regia,N,Europe,Europe,N,N,2.27±0.24,2.98±0.22,1.42±0.09
Juniperus chinensis,N,East Asia,East Asia,Y,Y,1.35,4.97±0.03,1.02±0.02
Juniperus communis,N,Europe,North America,Y,Y,1.71±0.52,4.41±0.59,2.07±0.07
Juniperus deppeana,N,North America,North America,Y,Y,2,5,1
Juniperus monosperma,N,North America,North America,Y,Y,2,5,1
Juniperus occidentalis,N,North America,North America,Y,Y,1.67±0.16,5,1
Juniperus osteosperma,N,North America,North America,Y,Y,1.84±0.16,4.97±0.03,1.02±0.02
Juniperus sabina,N,Europe,Europe,Y,Y,1.93,4.72,1.04
Juniperus scopulorum,N,North America,North America,Y,Y,1.48±0.27,4.97±0.03,1.02±0.02
Juniperus sibirica,N,Europe,Europe,Y,Y,1.2,4.07±0.19,2.14
Juniperus silicicola,N,North America,North America,Y,Y,1.5,5±0,1.5
Juniperus virginiana,N,North America,North America,Y,Y,1.28±0.09,4.65±0.33,1.19±0.12
Kalmia angustifolia,N,North America,North America,Y,N,1.61±0.28,1.68±0.22,2.75±0.18
Kalmia latifolia,N,North America,North America,Y,N,2.5,4.5,1±0
Kalopanax pictus,N,East Asia,East Asia,N,N,3±0,2.75±0.25,1.5±0.5
Koelreuteria paniculata,N,East Asia,East Asia,N,N,2.09±0.09,4.47±0.47,1.27±0.27
Laburnum × watereri (L. alpinum × L. anagyroides ),N,North America,Europe,N,N,1.17±0.17,2.38±0.38,1.53
Laburnum alpinum,N,Europe,Europe,N,N,1,2,2
Laburnum anagyroides,N,North America,North America,N,N,1,3,1.5
Lagerstroemia indica,N,East Asia,East Asia,N,N,2.5±0.5,2.88±0.12,1.02±0.02
Larix decidua,N,Europe,Europe,N,Y,1.46±0.29,2.31±0.55,1.1±0.08
Larix gmelinii,N,East Asia,East Asia,N,Y,1.23,2.3,3.11
Larix kaempferi,N,East Asia,East Asia,N,Y,1.38±0.21,3±1,1.58±0.43
Larix laricina,N,North America,North America,N,Y,0.98±0.09,2,3
Larix lyallii,N,North America,North America,N,Y,1±0,3,1
Larix occidentalis,N,North America,North America,N,Y,1.35±0.23,2.42±0.08,1
Larix sibirica,N,East Asia,East Asia,N,Y,1.35±0.15,1.63±0.26,1.92±0.15
Larix × eurolepis (L. decidua × L. kaempferi),N,East Asia,Europe,N,Y,1.5,2.5,1
Larix × marschlinsii (L. sibirica × L. kaempferi),N,East Asia,East Asia,N,Y,1.56,2.21,1.04
Ledum palustre,N,Europe,North America,Y,N,2.66,0.53,4.27
Lembotropis nigricans,N,Europe,Europe,N,N,2.66,3.88,1.04
Leucothoe grayana,N,East Asia,East Asia,Y,N,3±0,3.25±0.75,2.5±0.5
Ligustrum lucidum,N,East Asia,East Asia,Y,N,3.5±0,2.5,2
Ligustrum ovalifolium,N,East Asia,East Asia,N,N,1.93±0.01,3.04,1.41
Ligustrum vulgare,N,Europe,Europe,N,N,2.29±0.19,3.46±0.42,1.88±0.11
Lindera benzoin,N,North America,North America,N,N,3,2,3±0
Lindera umbellata,N,East Asia,East Asia,N,N,2.88±0.63,3,2.75±0.25
Linnaea borealis,N,Europe,North America,Y,N,3.38±0,3.04±0,1.77
Liquidambar styraciflua,N,North America,North America,N,N,1.59±0.14,2.92±0.08,2.69±0.14
Liriodendron tulipifera,N,North America,North America,N,N,2.07±0.27,2.6±0.3,1.3±0.12
Lithocarpus densiflorus,N,North America,North America,Y,N,3.67±0.33,4,1
Loiseleuria procumbens,N,Europe,Europe,Y,N,1.02±0.09,3.88±0,1.04
